inputName,dim,a[dim]
values_27,22,"{-65, 117, 96, 123, -36, 57, 42, 68, -8, -4, 81, -14, 35, 82, -10, -35, 45, -48, 66, 36, 62, 92"
values_84,15,"{41, -28, -15, 29, -65, 97, -39, 30, -72, -119, 29, 77, -61, -113, -120"
values_65,23,"{43, -94, 104, 90, 41, 16, -82, -116, 34, 121, -35, -34, 45, 32, 75, -92, -48, 7, -84, 41, 16, 79, 29"
values_96,19,"{-99, 114, 10, -127, -104, 108, -75, -109, 123, 2, -73, -37, -15, -22, -113, -77, 18, 69, 62"
values_28,14,"{-79, -71, -62, -56, -1, 87, 122, -63, 109, 95, -24, -66, 52, 122"
values_54,25,"{-42, -18, 87, 73, 11, -16, 22, 65, 48, -4, 39, -27, 58, 49, 118, -57, -20, -100, 56, 119, 5, -125, -96, -43, 107"
values_15,23,"{39, -23, -54, 39, 1, -108, -38, 0, 79, 51, 116, 82, 72, 115, -36, 110, -58, -47, -86, -59, -43, -76, 36"
values_87,26,"{109, -41, 13, -125, -36, 12, -85, 31, -73, 47, -57, 117, -69, 4, 39, 36, -13, -103, 50, 125, 53, 121, -18, -110, 70, 108"
values_59,27,"{88, -25, 67, 38, -69, 28, 61, -82, 59, 116, -95, 102, -18, 16, 4, -53, -124, 19, 45, -73, 40, -55, -59, -108, 76, 8, 114"
values_5,20,"{68, -20, -64, 2, -32, -16, 65, -51, 53, -92, -46, 81, 10, -23, 5, -42, 87, -81, 91, -80"
values_92,4,"{-60, 90, 77, 83"
values_0,27,"{-50, -84, -120, -126, -21, -85, 21, -111, -61, -63, 91, -34, 100, -69, 85, 54, 32, -110, 117, -30, -8, 70, -116, 119, 27, -32, 74"
values_77,26,"{-126, 120, -45, -100, 99, -76, 127, -105, 33, -31, -64, 89, 55, 45, 72, 120, 81, -40, -124, 107, -120, 35, 121, 119, -125, 67"
values_17,8,"{-92, 48, 125, -50, 96, 18, -83, 6"
values_12,10,"{-1, 45, -65, -48, 23, -108, -74, 56, 42, 114"
values_33,15,"{122, 12, 61, 89, 32, 32, 13, -108, 82, -18, -17, 21, -109, -78, 78"
values_25,6,"{47, -1, -84, -32, 95, -112"
values_19,6,"{-48, -70, 87, 2, 106, -96"
values_97,27,"{53, 91, -69, -17, 99, 55, 26, -58, -25, -46, 5, -14, -51, -69, 16, 50, -3, 113, -10, -116, 46, 115, -31, -79, -47, -12, 20"
values_81,7,"{-100, -125, 118, 58, -106, 77, -41"
values_8,12,"{121, 15, -95, 84, -16, -94, 95, -81, -89, 75, 100, 120"
values_73,7,"{85, -15, -18, 4, -101, 59, 100"
values_89,14,"{-117, -117, -86, -51, 79, -101, 5, 60, 54, 97, 116, -3, -69, -108"
values_82,18,"{120, -98, -100, -39, 89, -68, -20, -94, -2, 57, -80, 8, 57, 39, -78, 26, 29, -57"
values_34,21,"{-63, -2, -77, -57, -59, 59, -65, 106, 14, 6, -121, 63, -105, -89, -70, 96, -66, -66, -125, -5, -78"
values_70,28,"{-11, 46, -82, 120, 36, -54, 75, -86, 52, 73, -23, -17, 115, -109, -44, 91, 55, 89, -64, 109, -32, 67, -24, -63, 48, -114, 3, -12"
values_29,15,"{77, -47, 57, -5, 7, 58, -97, -41, 16, 24, 125, 58, 90, -32, -49"
values_51,3,"{38, 61, -102"
values_57,9,"{-23, -127, -105, -12, 0, -49, 74, 69, 70"
values_88,24,"{95, -110, -111, 1, -7, -77, -5, -69, 92, 73, -57, 97, 74, 34, -15, 56, -92, 24, -22, -64, -120, -92, 30, -8"
values_23,15,"{82, 30, -66, -77, 48, 115, -116, 60, -86, 78, -112, -65, -40, -50, 81"
values_45,7,"{-111, 69, 93, 75, 87, -36, 75"
values_66,25,"{-10, 18, -81, 49, 52, -79, -40, 40, 35, -62, 52, -83, -122, -127, -60, -1, -8, 73, -51, -50, 81, -56, -15, -40, -67"
values_36,22,"{-54, -67, 34, -40, -127, 21, -107, -15, -93, -58, 65, 108, -25, 48, 116, 124, -101, 125, 52, -21, -74, 19"
values_56,20,"{-23, -64, -35, 61, -107, -109, 84, -86, -62, 127, -53, -11, -93, -58, -79, -103, -116, -28, -53, 70"
values_26,14,"{-8, 29, 117, -97, 41, 53, -90, 12, -102, -48, 59, 2, 33, -68"
values_43,5,"{41, -76, 49, 112, -95"
values_52,24,"{-28, 114, 10, 95, -103, -30, -12, 76, -68, 54, 100, -46, 0, 107, -120, 59, -15, -89, -97, 18, 17, 95, 44, -51"
values_98,16,"{80, -117, 83, -108, 31, -93, 71, 36, -24, -41, 113, 55, -103, 31, 79, 86"
values_61,24,"{52, 25, 57, 108, 101, -98, -12, -46, 71, -38, 41, -100, -44, -91, 91, 49, 93, 123, 122, -103, 11, -23, -70, -27"
values_44,7,"{103, -15, 113, -116, 98, -75, -86"
values_68,20,"{-80, -71, 85, -51, 23, -13, -126, 63, -91, -24, -37, 71, 59, -37, 39, 58, 19, -69, -63, 4"
values_41,27,"{26, 71, -14, 124, 112, 57, -103, -14, 34, 126, 64, 60, -32, 86, -57, 24, -20, 7, -12, 7, 114, 9, -49, 78, 77, -48, -112"
values_85,27,"{110, -82, 48, -79, -71, -96, 34, -53, -122, -27, -2, -67, 127, 125, -69, -91, -98, 70, -68, 77, -13, -118, -18, -33, 14, -29, -5"
values_79,7,"{-94, -68, -29, -100, -36, 30, 58"
values_71,2,"{10, 103"
values_63,27,"{-30, -33, 90, -72, 59, 98, -57, -10, 126, -119, -95, -118, 94, -59, 38, -52, 105, -53, -88, -73, -41, -48, 26, 59, -15, 79, 83"
values_20,11,"{87, -91, 40, 106, -60, -18, 122, 53, 49, -125, 41"
values_74,28,"{-79, -39, -40, -67, 80, 111, -6, -113, 116, -121, 44, -82, -8, -77, 59, 126, -99, 14, -88, -63, -117, 1, -2, -38, 100, 63, 67, 17"
